"listing_id","source_payload_sha256","action","expected_status","new_status","also_hold_price","expected_price_status","new_price_status","canary_category","canary_priority"
"admission_5f7bde3589c5bf3320d21dccda821816f316d0d0aa618af6b43fb1df143da085","1d1ea29ab234a2c8ac0932feff12fd9127885528bab878fbbce910caa8755087","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_6ddf91c4e21b988222a8e5a72944ca79ccb871fa5a7fe833f95013b0bff51242","3b84019c8ffb73cb0c7b7eb388cb9a489452b0d6273e920933e68f412064411a","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_7408a30f607108a6f8dcff4df81201c5aeabc07d156993e262a6b52c06c6a19b","a3423b2f5973ff77c4ce35fa451ebb8f59ebb77f01c106a78a28c75a2fa8e938","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_6e4707dd048b761d9be8e40c9ad8cd781ef827023d8f332ce25b79f708d7678d","39de627e1cb25f8d30a4dedc9cfea3ce7fd983a04a5e6dcb3c69740f563728ad","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_dbc12ef808e0b8ffb83a2dadcdd41597f38fa04563d9cd6e596a9b0404dcfe90","b0fd2d662b1613b2df5e67877b4525d1ba3df3dec50f62c83f682022c6899973","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_3cace366d8bd583c23ed736865a65d654a011662c181c80c6e1ff2e822a72b1c","406de98938506df0090957cbed49878e8063f300c89bb6710935e36ec046d881","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_17c82809d3d529c1276db65b4e7b64ddc83d08f448103ffb8e08330752c709e7","91e802f9fa52c0100e6c9a0ee0d803b31b0f9548cb2689759c490ea36c6862d3","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_ce69e7e94acb6a648909958579d7de896a96c7c687ea31a978742ce13fc5c85f","93906798af17797d6f36e3f12aa80cdd50be372e1c211d47e38175307620a500","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_eaa84875bc415be5f571e051b369d1963e677da40f48e9862d73e08ab8dfb836","5eeb2c9b011c2ea8335b3a18b7b18bd4b0743439c641bafd6756079caec50b48","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_e2c76f3f00ffe148fd4fed74bbd6850505455b0a9a41435265e8144a1ed51ffe","bfc983626912eda39697e049f2d4ff788cba3b28fcf94c1121470bbbc686e337","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_3131ea6da8c9ec631a3e0cd488ae1c2495704a5ac53664e7a19c98dfd916af78","7a1995aad6d12db83ef1c328a2a0d64464b018fc7e4eb53edd4283015c468de5","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
