"listing_id","source_payload_sha256","action","expected_status","new_status","target_price_evidence_status","null_price","canary_category","canary_priority"
"admission_28ba70fa02836b9e9cb03c9446c2c9f1f53118440c6a876d3f997e6aca285add","77a87915781d9f83c8ecca2a5dea1a1a82b69370af724a639ae3215aff43eca9","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
"admission_2969986d7340724629eb1185381f0acd895688c4bea98d8e4370517078baf873","20fa02b3bdad0e203c907685db27e013bfe423a37a9978e871d9e7f9f78550b1","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_NOT_SUPPLIED","PRICE_NOT_SUPPLIED","true","LEGACY_PRICE_NULL","1"
"admission_29b2ab5419796ad69ef8de687cc345ae0eb3146ecef793b4c1dc55e0b0887408","3203116775fd79bbb7f7f4eb543df770a7d533e58638fc3a8b461936fe96eb0d","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
"admission_29bf1c161dd419711c03a466f891915ebf231650ed4b47b9f97f42f8d3a79831","2e7e9f2767e3f3f8a5ace0a14e686b8a4e33340c049a445d6bd96d195b24af47","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
"admission_2ab84a038c9a9d5406c284f9638448d69870a8396eef5ea71a7cce2ab8549e3b","be3bde68e6cc9130eaad4b7b66ed1dcd17916de6cccc0765f9f5741e0f9fd8e8","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
"admission_2ba54883b6b501f794f3fb1eb2eaebc567de9794efdb889a897b6c795603d65a","23ca3f5eb3853ef8723e944967462c5ebdb536cf533e4cf0389a316075bdf23f","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
"admission_2cb803371194733674db7fd596c2547012cacc076b65669da8d463ec7b38f4a0","133318d91b6e3d09e1dceaed9a9376b7ca8e160030a72941fb827ecef861a644","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_NOT_SUPPLIED","PRICE_NOT_SUPPLIED","true","LEGACY_PRICE_NULL","1"
"admission_2d5a0d2b1e515a9297c223f4352492116836382ed3af6ddff37ff3a4e85dd9ea","1c70501cac6c88c384a1fc6cbfdaef0afd7180a37f9dce034fbd5a1e8443b1c9","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
"admission_2d98d26f8b7e5c8eb04c25e4f0b4420ada5a7e51755cff147814c05e49cc6f10","90faf08ad7df264d813381cc571ec0903a2623b5555b325801cd910420f5b9a2","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
"admission_2df55d69e0677dff2fdab18eb3a8e96b3b6e3e3e0f45e9e17ac782ee951f9fbd","cd82699258f2d0e3129fa326d621dd15b25cbaa5780c56afecd6f3fb3d7e090d","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
